Price,Close,High,Low,Open,Volume
Ticker,7013.T,7013.T,7013.T,7013.T,7013.T
Date,,,,,
2011-02-21,247.814453125,253.42111138352934,245.57178503073968,251.178443289269,9587200
2011-02-22,238.8437957763672,245.5718004824843,235.47980540043088,244.45045438767585,9901500
2011-02-23,237.72251892089844,242.2078562460802,233.23718159571663,233.23718159571663,8968400
2011-02-24,232.1158447265625,237.72250405531196,230.99449848826404,235.47983553296265,7429100
2011-02-25,236.6011505126953,236.60115051269534,229.87316910760035,230.9944913570339,6799100
2011-02-28,239.96519470214844,241.0865170895838,234.35853485647203,238.84384836046328,9460500
2011-03-01,243.32919311523438,247.81453070797386,237.72253310143526,246.69318433266372,13244000
2011-03-02,241.0864715576172,243.32913986318388,237.7224810763898,238.84380325205052,8155000
2011-03-03,244.45050048828125,245.57184679456296,241.08650947793421,242.20785578421592,7530600
2011-03-04,244.45050048828125,250.05718411119167,242.20785578421592,247.81451545287732,10549700
2011-03-07,242.20777893066406,245.57176887360288,239.96511098395771,243.32910092689653,7609000
2011-03-08,238.8437957763672,244.45045438767585,237.72247363580325,242.20781010654798,6976900
2011-03-09,243.32919311523438,246.69318433266372,239.965201897805,241.08652431886463,8138200
2011-03-10,237.72251892089844,243.3291786002511,236.60117261247842,242.2078562460802,5698700
2011-03-11,227.63050842285156,230.99449924020226,223.1451713635522,230.99449924020226,22064000
2011-03-14,206.32518005371094,220.90248862759088,202.96118945269959,207.44650226929934,18239200
2011-03-15,174.9279022216797,196.23321980729287,173.8065678260487,195.11188541166186,21457800
2011-03-16,190.6265411376953,195.11186630383412,180.53454454247787,187.26253828024815,11951800
2011-03-17,186.14120483398438,188.3838734157309,179.41321106586886,182.77721393848867,17061800
2011-03-18,192.86920166015625,196.23320458611434,187.26254209401708,188.38387640266978,18244100
2011-03-22,205.203857421875,213.0531856940929,204.08253507766483,206.32520372033406,18905600
2011-03-23,208.56787109375,211.93186206015764,201.83986520668603,205.20385617309364,11247600
2011-03-24,202.96119689941406,209.68917834828864,201.83985068843694,207.44650988058146,10425800
2011-03-25,216.41717529296875,219.78116588592795,209.68917015280428,213.05316074576348,19686100
2011-03-28,215.29580688476562,216.41715293607584,209.6891484909453,215.2958068847656,10048500
2011-03-29,214.15676879882812,217.57415692648863,208.46108947342285,214.15676879882812,9833600
2011-03-30,227.82627868652344,230.10454488021466,216.43494771806746,218.71321391175866,16052400
2011-03-31,231.2436981201172,233.52196463213687,226.68716509607782,230.10457703134463,12427800
2011-04-01,230.1045684814453,232.38281057433875,227.8263020540782,231.24368952789203,10801000
2011-04-04,239.21763610839844,243.7741694631707,238.07851493694355,242.63502395723947,20650000
2011-04-05,233.52195739746094,238.0784902803357,227.8263034611044,236.9393448923801,8901200
2011-04-06,227.82627868652344,236.93931912681708,226.68713342244226,235.80019819720707,11372200
2011-04-07,228.96543884277344,232.38282655154572,227.8263177180078,228.96543884277344,6952400
2011-04-08,231.2436981201172,233.52196463213687,224.40889858405814,227.82631051932495,9930200
2011-04-11,233.52195739746094,233.52195739746094,230.10456990254178,231.24369095602356,4680900
2011-04-12,225.54808044433594,231.24373547727433,223.26981356426487,230.10461420447805,8393000
2011-04-13,227.82627868652344,227.82627868652344,222.13062536953103,225.54801249283224,6928600
2011-04-14,225.54808044433594,226.6872017171322,222.1306922914686,226.6872017171322,8710100
2011-04-15,224.4088897705078,227.82630157155745,224.4088897705078,225.54803514901556,6946800
2011-04-18,227.82627868652344,227.82627868652344,224.40886722875106,225.54801249283224,6085100
2011-04-19,227.82627868652344,228.96539961613348,224.40886722875106,224.40886722875106,6230000
2011-04-20,230.1045684814453,234.66107700170585,230.1045684814453,233.52195595525913,9582300
2011-04-21,233.52195739746094,235.80022383889832,232.38281200950536,235.80022383889832,7608300
2011-04-22,228.96543884277344,231.24370542678008,225.54805113400118,230.10458430201442,6264300
2011-04-25,228.96543884277344,232.38282655154572,226.68717225876682,230.10458430201442,4051600
2011-04-26,225.54808044433594,230.10461420447805,223.26981356426487,228.96546859720328,4186000
2011-04-27,226.68716430664062,228.96543081072628,225.54804322183506,226.68716430664062,2989000
2011-04-28,232.3827667236328,238.07844388451122,230.10452506064436,236.9392987185479,14506800
2011-05-02,234.66107177734375,236.9393381539888,233.52195075625778,236.9393381539888,4263700
2011-05-06,230.1045684814453,235.8002223826262,225.5480356267111,231.24368952789203,18361700
2011-05-09,225.54808044433594,227.82634732440698,225.54808044433594,226.6872017171322,4863600
2011-05-10,223.26974487304688,227.82627723132526,222.13062395071276,226.68713197452016,13916000
2011-05-11,222.13067626953125,226.68718536654103,222.13067626953125,226.68718536654103,9771300
2011-05-12,220.9915008544922,225.54803366969057,220.9915008544922,222.13064622552852,7490000
2011-05-13,220.9915008544922,224.40888829865423,217.57411341033014,224.40888829865423,7936600
2011-05-16,219.85238647460938,222.1306529511898,217.57411999802895,217.57411999802895,6463800
2011-05-17,215.29583740234375,220.99149100012664,214.15671641657613,219.852370014359,7645400
2011-05-18,226.68716430664062,230.10457623000633,219.85238912885822,224.408897802555,18494000
2011-05-19,226.68716430664062,228.96543081072628,225.54804322183506,225.54804322183506,3487400
2011-05-20,223.26974487304688,226.68713197452016,222.13062395071276,225.54801105218607,2782500
2011-05-23,219.85238647460938,228.9654280464569,218.71324106908207,227.82630697540378,10521700
2011-05-24,220.9915008544922,223.2697672620914,218.713234446893,218.713234446893,5381600
2011-05-25,224.4088897705078,225.54803514901556,220.9915023039318,223.2697687264737,6145300
2011-05-26,224.4088897705078,226.6871561930497,223.2697687264737,224.4088897705078,4281900
2011-05-27,220.9915008544922,224.40888829865423,220.9915008544922,222.13064622552852,4084500
2011-05-30,223.26974487304688,224.40886579538096,217.5740915924344,219.8523577715736,4278400
2011-05-31,228.96543884277344,228.96543884277344,223.26978454999454,223.26978454999454,4716600
2011-06-01,231.2436981201172,232.38281920888977,228.9654316080975,230.10457703134463,5100200
2011-06-02,224.4088897705078,228.9654226155916,224.4088897705078,227.82630157155745,8911700
2011-06-03,222.13067626953125,226.68718536654103,222.13067626953125,224.40891865079777,5939500
2011-06-06,211.8784637451172,223.26977167372274,211.8784637451172,220.99150522110685,10185000
2011-06-07,213.01754760742188,213.01754760742188,209.60016069247334,211.87842674726224,10145100
2011-06-08,215.29583740234375,215.29583740234375,210.7393047903285,211.8784501105685,5532800
2011-06-09,217.57411193847656,219.85237833066364,213.0175791541024,215.29584554628948,5658800
2011-06-10,218.71319580078125,220.99146180581616,217.5740749654984,219.85234097053328,6667500
2011-06-13,218.71319580078125,222.13060697556816,217.5740749654984,222.13060697556816,8788500
2011-06-14,225.54808044433594,225.54808044433594,217.57415853132647,217.57415853132647,8685600
2011-06-15,225.54808044433594,228.96546859720328,223.26981356426487,227.82634732440698,7952000
2011-06-16,222.13067626953125,224.40891865079777,222.13067626953125,223.2697974601645,5800200
2011-06-17,217.57411193847656,223.2697657517076,215.29584554628948,222.13064472285072,7431200
2011-06-20,216.43496704101562,223.26976623228856,215.29584600970682,220.99149983519757,5887700
2011-06-21,223.26974487304688,224.40886579538096,216.4349463356293,218.7132125147685,7670600
2011-06-22,228.96543884277344,228.96543884277344,222.1306634252289,224.4089056747602,9032100
2011-06-23,228.96543884277344,230.10458430201442,225.54805113400118,227.8263177180078,5587400
2011-06-24,234.66107177734375,234.66107177734375,227.8262969818817,228.96541800296768,7474600
2011-06-27,232.3827667236328,238.07844388451122,232.3827667236328,234.66103272109035,8600900
2011-06-28,234.66107177734375,236.9393381539888,232.38280540069871,236.9393381539888,4701900
2011-06-29,234.66107177734375,235.80021713290284,233.52195075625778,234.66107177734375,6244700
2011-06-30,235.80018615722656,236.93930702867297,232.38277487394754,234.66104095131027,4974200
2011-07-01,234.66107177734375,236.9393381539888,232.38280540069871,235.80021713290284,5164600
2011-07-04,238.07846069335938,240.3567025171966,235.8001945350514,236.93931544697,6262200
2011-07-05,239.21763610839844,239.21763610839844,236.9393694310123,238.07851493694355,4449900
2011-07-06,242.6349639892578,242.6349639892578,238.0784560951169,240.3566978749522,6326600
2011-07-07,241.49588012695312,242.63500119152775,239.2176136633299,241.49588012695315,4219600
2011-07-08,241.49588012695312,243.77414659057638,241.49588012695315,242.63500119152775,2576700
2011-07-11,240.3567352294922,241.49588063091804,239.2176141625404,240.3567352294922,1465800
2011-07-12,236.93930053710938,239.2175665520531,235.80017969687214,236.93930053710938,2169300
2011-07-13,234.66107177734375,236.9393381539888,232.38280540069871,235.80021713290284,4693500
2011-07-14,233.52195739746094,235.80022383889832,231.24369095602356,234.66107845094274,4195800
2011-07-15,232.3827667236328,233.52191188959614,228.96537989468106,232.3827667236328,6361600
2011-07-19,231.2436981201172,233.52196463213687,230.10457703134463,230.10457703134463,5932500
2011-07-20,234.66107177734375,236.9393381539888,233.52195075625778,235.80021713290284,4091500
2011-07-21,236.93930053710938,240.35668739229035,235.80017969687214,236.93930053710938,10697400
2011-07-22,236.93930053710938,240.35668739229035,236.93930053710938,240.35668739229035,4523400
2011-07-25,233.52195739746094,235.80022383889832,232.38281200950536,234.66107845094274,4752300
2011-07-26,239.21763610839844,239.21763610839844,232.38283607624004,233.5219815821713,5254900
