Price,Close,High,Low,Open,Volume
Ticker,6702.T,6702.T,6702.T,6702.T,6702.T
Date,,,,,
2011-02-21,449.0556335449219,449.8647427945524,440.964541048617,440.964541048617,11152000
2011-02-22,445.8191223144531,449.0555587740862,441.77357673991185,444.20090408463665,12762000
2011-02-23,443.3918151855469,448.24647009633753,440.1553785783531,442.5827060337484,21362000
2011-02-24,444.20098876953125,448.24653511533757,441.7736609620475,445.8192073078538,15673000
2011-02-25,448.24639892578125,450.6737259957764,439.34619966913215,441.77352673912736,15009000
2011-02-28,446.6282958984375,450.6738420569379,441.7736405082371,449.05562359353775,13753000
2011-03-01,440.9644775390625,448.24645973695533,438.53715013976495,446.6282414707569,12403000
2011-03-02,438.5372009277344,442.58274706175405,436.9189824741265,438.5372009277344,15938000
2011-03-03,434.4916687011719,441.7736519754932,433.6825594484695,436.91899645927896,11156000
2011-03-04,437.7280578613281,441.77360368259735,436.9189486970743,441.77360368259735,8404000
2011-03-07,431.25518798828125,435.3007338418298,428.0187513054423,435.3007338418298,8051000
2011-03-08,423.16412353515625,429.6369973177208,419.1185774210534,425.5914512036179,13033000
2011-03-09,432.8734436035156,435.3007713246568,421.54591423818994,423.1641327189508,14751000
2011-03-10,424.7823181152344,436.91895577566964,422.35499058314736,426.4005364699591,13988000
2011-03-11,407.7911071777344,419.11863793267145,407.7911071777344,416.69130991375636,20619000
2011-03-14,381.8995666503906,386.7542221586583,372.19025563385526,373.80847413661115,19374000
2011-03-15,346.2987976074219,365.71742177232403,317.1708613600686,365.71742177232403,32925000
2011-03-16,359.24444580078125,363.28999136160087,343.87137266966675,353.58068201563384,32509000
2011-03-17,343.87127685546875,352.771474609375,332.54375244140624,339.825732421875,18406000
2011-03-18,364.90814208984375,365.71725105234896,349.535071802245,350.3441807647502,15099000
2011-03-22,405.3636779785156,426.400515558239,387.5632769495189,387.5632769495189,32111000
2011-03-23,378.6630554199219,392.4179099971413,374.61750995603387,390.79969181158606,25205000
2011-03-24,372.1902160644531,378.66308938731316,367.33556107230805,373.80843439516815,16843000
2011-03-25,381.8995666503906,382.7086759017686,374.6175833879891,382.7086759017686,13761000
2011-03-28,377.85400390625,388.37242371520347,374.61756704195665,388.37242371520347,10153000
2011-03-29,372.94677734375,383.579031961006,371.3110458641721,381.94330048142814,20795000
2011-03-30,384.3969421386719,386.03267380734707,369.6753571205951,374.58255212662067,16560000
2011-03-31,384.3969421386719,386.8505396416847,377.85401546397105,386.03267380734707,11062000
2011-04-01,381.9433288574219,386.8505236607292,381.1254630568707,383.57906045852434,7361000
2011-04-04,386.03265380859375,391.75771435236527,385.2147880166264,388.4862511844958,10040000
2011-04-05,377.85394287109375,384.39686828877507,376.2182115166735,384.39686828877507,8277000
2011-04-06,377.0361022949219,384.39689387985527,376.2182365632626,381.9432966848775,8065000
2011-04-07,377.85394287109375,387.66833099761567,376.2182115166735,381.1254055799344,8707000
2011-04-08,384.3969421386719,386.03267380734707,374.58255212662067,378.6718812983087,11327000
2011-04-11,385.2147521972656,389.3040807768544,380.307557901759,381.9432893335946,7921000
2011-04-12,368.857421875,377.03607867932374,366.40382483370286,376.2182129988914,12961000
2011-04-13,366.4039306640625,371.31112616402766,363.95033291408,367.2217965807234,11634000
2011-04-14,367.2216796875,370.4931423127784,364.76808271854117,366.4038140311804,11461000
2011-04-15,365.58599853515625,369.67532737783137,363.9502669980862,363.9502669980862,9386000
2011-04-18,359.8609313964844,367.22172317504885,359.8609313964844,366.403857421875,10041000
2011-04-19,351.6823425292969,354.9538061807322,348.41087887786153,354.13594026787337,9473000
2011-04-20,357.40728759765625,359.86088453768593,351.68222807092036,354.13582501095,12140000
2011-04-21,372.94677734375,372.94677734375,365.58598568564963,367.2217171652275,14705000
2011-04-22,373.7646179199219,378.6718120282797,370.4931551810166,372.12888655046925,16743000
2011-04-25,374.58251953125,378.6718483470933,373.7646537680813,373.7646537680813,9831000
2011-04-26,368.857421875,372.1288845967295,367.2216905141353,372.1288845967295,7409000
2011-04-27,373.7646179199219,376.21821497410076,372.12888655046925,375.4003492893745,6351000
2011-04-28,377.0361022949219,377.0361022949219,367.22171351501066,372.94677363662555,16413000
2011-05-02,369.6753234863281,377.85398108558314,368.85745772640263,376.21824956573215,13773000
2011-05-06,371.3110656738281,372.94679724067316,367.2217367567155,368.039602540138,18040000
2011-05-09,372.94677734375,374.5825088233278,370.49318012438323,374.5825088233278,10297000
2011-05-10,370.49322509765625,375.4004201320623,370.49322509765625,372.9468226148593,9916000
2011-05-11,366.4039306640625,372.94685799734935,363.95033291408,372.1289920806885,10374000
2011-05-12,361.4966125488281,367.2216720235833,361.4966125488281,367.2216720235833,5261000
2011-05-13,355.7715759277344,363.95023284561336,354.1358445441586,361.49663577024967,8407000
2011-05-16,349.2287292480469,356.58952213617897,349.2287292480469,354.95379038326075,7344000
2011-05-17,352.5000915527344,353.31795719438804,348.410763344466,350.86436026942704,7297000
2011-05-18,357.40728759765625,359.04301889100935,347.5928998375375,350.8643624242438,9437000
2011-05-19,347.5928955078125,355.7715518727022,347.5928955078125,354.95368623621323,8751000
2011-05-20,344.3215637207031,350.04662535026347,344.3215637207031,348.4108934561034,9612000
2011-05-23,332.87139892578125,343.5036549111256,332.05353308075473,343.5036549111256,12811000
2011-05-24,333.6893005371094,336.96076426786533,327.9642390082864,331.2357027390424,8891000
2011-05-25,330.4177551269531,336.14281524053894,330.4177551269531,333.68921804900214,6609000
2011-05-26,331.2356262207031,332.053491964458,326.3284317581742,329.5998947331935,20438000
2011-05-27,341.0499572753906,343.5035540903215,333.689166830598,333.689166830598,25626000
2011-05-30,343.5036315917969,347.59296053931826,333.6892421177455,336.14283948625837,24190000
2011-05-31,349.2287292480469,349.2287292480469,341.8679363599147,343.503668112833,11421000
2011-06-01,350.0466003417969,350.8644662304459,345.13940500990253,347.5930026758497,8489000
2011-06-02,348.41082763671875,349.2286934292932,343.503632881272,346.77509605156985,10164000
2011-06-03,343.5036315917969,348.4108263288225,342.68576580229256,346.775094749814,8616000
2011-06-06,343.5036315917969,346.775094749814,341.8679000127883,343.5036315917969,10026000
2011-06-07,346.7751159667969,348.41084764588555,340.2321892504422,341.8679209295309,12337000
2011-06-08,357.40728759765625,359.86088453768593,344.3214372508313,344.3214372508313,18063000
2011-06-09,356.5894470214844,359.0430441340175,351.6822527964181,354.9537156131289,12580000
2011-06-10,362.3145751953125,362.3145751953125,356.58951418771164,357.40738004594033,13996000
2011-06-13,354.1358337402344,363.13235607543663,352.50010240656127,359.0430277412538,11851000
2011-06-14,359.8609313964844,362.31452865600585,352.50013961791996,352.50013961791996,9563000
2011-06-15,365.58599853515625,368.0395958407613,359.043072386876,359.8609381554111,10879000
2011-06-16,355.7715759277344,364.7680985374012,355.7715759277344,363.13236715382544,11922000
2011-06-17,353.3180236816406,359.0430842505561,350.8644262949626,358.22521845499676,14799000
2011-06-20,357.40728759765625,363.13234712439214,354.95369065762657,355.77155630430315,15145000
2011-06-21,351.6823425292969,361.49673348360284,350.04661070357923,359.86100165788514,16024000
2011-06-22,357.40728759765625,359.86088453768593,354.13582501095,355.77155630430315,9743000
2011-06-23,359.8609313964844,360.67879714965824,353.31800537109376,354.13587112426757,9654000
2011-06-24,368.03961181640625,368.85747762044275,360.67881958007814,360.67881958007814,11565000
2011-06-27,364.76812744140625,369.6753219809768,364.76812744140625,368.8574562243817,8430000
2011-06-28,371.3110656738281,372.94679724067316,366.40387097329295,366.40387097329295,13227000
2011-06-29,378.6718444824219,378.6718444824219,373.764649953492,374.5825157083136,9741000
2011-06-30,374.58251953125,380.30757987343065,373.7646537680813,379.489714110262,10111000
2011-07-01,387.6683044433594,388.4861700645479,377.8539169890971,378.6717826102856,17795000
2011-07-04,384.3969421386719,392.5756004820479,382.7612104699967,390.9398688133727,7964000
2011-07-05,389.3041687011719,392.5756323037027,386.03270509864103,386.03270509864103,8393000
2011-07-06,389.3041687011719,390.9399005024373,384.3969732973756,389.3041687011719,8286000
2011-07-07,390.1219787597656,390.93984454332906,386.0326498419484,386.85051562551183,6034000
2011-07-08,395.0291442871094,395.8470100102711,391.7576813944625,395.0291442871094,7603000
2011-07-11,395.8470458984375,404.84356966885656,395.0291801011267,395.8470458984375,15223000
2011-07-12,381.1253967285156,391.7576502853197,379.48966541208426,391.7576502853197,14511000
2011-07-13,387.6683044433594,390.9397669281135,380.3075138526627,381.1253794738512,10790000
2011-07-14,381.9433288574219,386.8505236607292,380.3075972563194,384.39692625907554,11330000
2011-07-15,383.57904052734375,386.03263780150587,379.48971173707355,379.48971173707355,6113000
2011-07-19,381.9433288574219,383.57906045852434,381.1254630568707,381.9433288574219,8398000
2011-07-20,387.6683044433594,388.4861700645479,385.2147075797938,385.2147075797938,6977000
2011-07-21,389.3041687011719,390.9399005024373,382.7612414961102,388.48630280053914,8284000
2011-07-22,398.30072021484375,399.1185861701104,390.9399266174442,390.9399266174442,14237000
2011-07-25,387.6683044433594,393.39336379167906,386.8504388221709,391.757632549302,9118000
2011-07-26,388.4861755371094,390.12190680252877,384.39684737356083,386.0325786389802,8756000
2011-07-27,385.2147521972656,387.6683493450189,382.7611550495123,387.6683493450189,8386000
2011-07-28,379.4896545410156,381.94325144537567,377.03605763665564,379.4896545410156,6446000
2011-07-29,371.3110656738281,376.2182603743633,364.7681394064479,375.4003945909408,10839000
2011-08-01,369.6753234863281,379.4897126054342,369.6753234863281,375.40038380580665,6816000
2011-08-02,370.49322509765625,372.1289567757916,363.9502983851149,368.8574934195209,7656000
2011-08-03,358.2251892089844,362.31451785292256,356.5894577514091,359.86092066655965,9985000
2011-08-04,359.04302978515625,366.4038208285877,354.9537014276943,356.5894327706791,9131000
2011-08-05,345.95721435546875,350.86440888533355,341.8678855805814,343.50361709053635,10152000
2011-08-08,337.778564453125,340.23216177360774,332.05350403866527,337.778564453125,13419000
2011-08-09,327.96417236328125,328.78203812977324,318.9676489318695,324.69270929731334,16238000
2011-08-10,339.414306640625,339.414306640625,339.414306640625,339.414306640625,13399000
2011-08-11,331.2356262207031,332.87135770821277,326.3284317581742,327.96416324568384,11462000
2011-08-12,331.2356262207031,331.2356262207031,331.2356262207031,331.2356262207031,10193000
2011-08-15,336.96075439453125,338.59648621198045,333.6892907596329,336.96075439453125,8890000
2011-08-16,333.6893005371094,338.5964961332433,331.2357027390424,336.96076426786533,7945000
