Price,Close,High,Low,Open,Volume
Ticker,7270.T,7270.T,7270.T,7270.T,7270.T
Date,,,,,
2011-02-21,445.5854797363281,451.31443590436663,442.40272630964006,451.31443590436663,6495000
2011-02-22,443.67578125,448.7681861997848,441.76612939383074,442.40268001255384,6452000
2011-02-23,443.67578125,448.7681861997848,437.94682568149216,439.8564775376614,5214000
2011-02-24,430.94482421875,441.12963542628324,428.3986214168667,439.2199833248708,6073000
2011-02-25,443.039306640625,444.9489588244208,429.6717413540544,431.5813935378502,9333000
2011-02-28,446.2220153808594,446.85856604474077,432.85445143935004,439.85650874204543,4426000
2011-03-01,457.0434265136719,457.67997724697784,445.58551331416476,449.4048177140005,7761000
2011-03-02,443.039306640625,448.7682631920124,438.58345154510147,448.7682631920124,7625000
2011-03-03,446.8586730957031,448.7683255448301,443.0393681974493,444.31246983020054,3883000
2011-03-04,451.9508972167969,457.0433016924791,450.6777960978763,455.13365001409824,5517000
2011-03-07,441.129638671875,447.4951457234172,437.31033444094965,446.22204431310877,4887000
2011-03-08,434.1276550292969,440.49316316755636,433.4911042154709,435.4007566569488,4788000
2011-03-09,425.2158203125,438.58338352591693,423.306168424869,435.4006303798653,9656000
2011-03-10,415.03106689453125,420.7600233393944,408.0290090174763,420.12347262329854,10074000
2011-03-11,412.4848937988281,424.5793582774974,412.48489379882807,415.66764760900423,12197000
2011-03-14,367.2897644042969,393.38834385070277,360.9242572222467,375.5649237409622,13606000
2011-03-15,332.2795715332031,364.10711669921875,309.3637390136719,362.8340148925781,12347000
2011-03-16,366.65325927734375,369.1994624667697,342.46432897779675,343.73743057250977,16418000
2011-03-17,354.5586853027344,361.5607419245119,339.91802145719953,347.55662868095686,9345000
2011-03-18,358.37811279296875,380.657391563402,355.8319095049192,380.0208407413896,7046000
2011-03-22,369.8360900878906,376.20159938372353,358.3781733553914,374.29194659497364,10385000
2011-03-23,347.5567321777344,367.92635750683235,344.37397822006284,367.92635750683235,11313000
2011-03-24,336.0987854003906,347.5566985390403,332.91603175076574,347.5566985390403,13934000
2011-03-25,340.5546875,350.7395005841122,338.008484228972,342.46433995327106,12325000
2011-03-28,348.829833984375,348.829833984375,338.64502131329834,340.55467368912525,8426000
2011-03-29,333.1051940917969,343.37433302333585,327.32880344280613,342.7325118401147,23354000
2011-03-30,353.6435546875,354.92719735424225,332.46345068625226,339.5234853533348,20691000
2011-03-31,344.0162353515625,361.3454113860629,339.5234860092847,358.13630471300723,18520000
2011-04-01,348.5089111328125,355.5689443233483,345.29980513711445,345.29980513711445,13421000
2011-04-04,353.0016784667969,355.56896340110086,348.50892983176493,352.35985723322085,11566000
2011-04-05,347.8670959472656,353.0016656291441,342.73252626538715,353.0016656291441,10928000
2011-04-06,345.2998046875,353.64348026545076,342.7325198942844,349.15073187732344,11140000
2011-04-07,351.718017578125,353.00165997804515,346.5834479784443,347.86709037836454,8456000
2011-04-08,351.0762023925781,353.64348723639955,347.225275126846,351.7180236035335,10089000
2011-04-11,350.4343566894531,359.41985301482373,341.4488603640825,347.86707202506153,12383000
2011-04-12,344.657958984375,345.2997801370461,340.1652109156774,344.657958984375,10596000
2011-04-13,350.4343566894531,352.35982018774683,341.4488603640825,342.09068153018046,9102000
2011-04-14,356.85260009765625,358.1362425440507,347.8671029728951,348.5089241960923,7217000
2011-04-15,363.27081298828125,368.4053827831686,356.2107795203111,359.41988564211573,13389000
2011-04-18,361.98712158203125,365.838048407372,356.21073134402013,362.62894271958805,7854000
2011-04-19,353.6435546875,358.136304021098,353.0017333541288,356.8526613543557,4147000
2011-04-20,361.98712158203125,362.62894271958805,353.643446793793,355.56891020646333,5612000
2011-04-21,369.0471496582031,370.97261304772417,362.6289383597996,365.196222879161,5513000
2011-04-22,386.3763732910156,388.94365816338114,365.19627309399976,365.8380943120912,13640000
2011-04-25,383.16717529296875,390.86902806267665,380.5998910363994,386.37628061368036,7411000
2011-04-26,376.107177734375,384.45085232575195,374.8235354895478,383.8090312033383,7665000
2011-04-27,382.5253601074219,383.1671811814276,374.1816861453472,376.7489704413702,6358000
2011-04-28,386.3763732910156,386.3763732910156,379.3163398920103,381.2418035462845,5736000
2011-05-02,394.72003173828125,397.2873164975546,391.5109257891895,394.0782105484629,5041000
2011-05-06,386.3763732910156,387.018194509107,376.7490550196448,378.67451867391895,5956000
2011-05-09,379.9580383300781,391.51081652254675,378.67439630869274,388.3017114690833,6464000
2011-05-10,385.7344970703125,388.943602703177,375.4653590451461,381.88357031087514,8822000
2011-05-11,392.7945251464844,398.57091522216797,388.943598429362,392.152704026964,11694000
2011-05-12,390.227294921875,397.92914942691203,388.3018312956158,390.8691161306281,8431000
2011-05-13,384.450927734375,395.3618889555509,377.39089400302583,394.078246458942,9654000
2011-05-16,377.3908386230469,381.2417655477718,373.5399116983219,380.59994439365096,6359000
2011-05-17,372.898193359375,377.3909426769579,369.0472653728755,377.3909426769579,6189000
2011-05-18,375.4653625488281,379.31628934420075,370.3307934883313,373.53989915114187,6467000
2011-05-19,375.4653625488281,384.45085840469756,374.82354141626604,381.241752741887,5291000
2011-05-20,374.18182373046875,381.2418581404776,371.6145384904655,373.54000242046794,4660000
2011-05-23,370.330810546875,374.8235586817591,363.912598925612,374.8235586817591,4995000
2011-05-24,368.4053649902344,370.97264976368547,364.5544378300577,366.47990141014606,4656000
2011-05-25,365.1962585449219,381.24178835796766,362.6289737748346,370.97264927761836,10650000
2011-05-26,375.4653625488281,376.1071836813902,367.12168782552084,369.68897235576924,6949000
2011-05-27,375.4653625488281,378.6744682116386,369.68897235576924,372.8980780185797,7820000
2011-05-30,369.0471496582031,372.8980764372452,367.121686268682,372.25625530740484,5157000
2011-05-31,383.16717529296875,383.16717529296875,369.04711188183757,369.6889329459799,9771000
2011-06-01,388.3017578125,390.2272210743801,381.8835469395661,383.80901020144626,8620000
2011-06-02,374.82354736328125,383.8090433617161,374.1817262205359,382.5254010762254,7415000
2011-06-03,369.68896484375,378.6744605170356,367.76350148518884,372.2562493218316,4392000
2011-06-06,361.98712158203125,367.1216906824856,358.7780158942473,367.1216906824856,5897000
2011-06-07,363.91265869140625,366.47994376153963,357.4944460160728,360.0617310862062,5729000
2011-06-08,363.27081298828125,363.91263421264216,357.49442196903294,360.70352809083755,4597000
2011-06-09,361.98712158203125,362.62894271958805,358.13619475669054,361.98712158203125,3658000
2011-06-10,366.47991943359375,375.46541658257854,365.8380982086663,367.76356188344874,7428000
2011-06-13,360.0617370605469,363.27084345146085,357.4944519478157,360.7035583387297,2861000
2011-06-14,362.6290283203125,364.5544921875,357.4944580078125,359.419921875,5163000
2011-06-15,369.0471496582031,369.68897078804343,361.9871172299592,363.91258061948025,4678000
2011-06-16,360.7035217285156,366.47991264587614,360.7035217285156,363.27080658067587,3007000
2011-06-17,363.91265869140625,364.55447995893957,357.4944460160728,360.0617310862062,6041000
2011-06-20,363.91265869140625,372.2563351693397,361.9871948888062,369.047228831673,4261000
2011-06-21,375.4653625488281,375.4653625488281,368.40533009064507,369.04715122320715,6776000
2011-06-22,380.5999755859375,383.16726041282413,376.74904834560766,376.74904834560766,4875000
2011-06-23,384.450927734375,387.6600339758973,376.7490727547214,376.7490727547214,4715000
2011-06-24,395.36181640625,395.36181640625,388.30178397042414,388.94360510095373,5753000
2011-06-27,396.6454162597656,403.7054479407647,394.07813201212963,395.36177413594766,6268000
2011-06-28,398.5708312988281,406.2726831113659,397.28718933007184,403.06357818947515,6561000
2011-06-29,398.5708312988281,401.77993622071887,393.436263423803,399.8544732675844,7109000
2011-06-30,399.2127685546875,403.06369558254625,396.00366269813856,402.42187441123644,4933000
2011-07-01,403.06378173828125,404.9892456637826,401.1383178127799,402.42196042978077,2987000
2011-07-04,410.7655334472656,410.7655334472656,403.0636796951294,406.9146065711975,4680000
2011-07-05,401.780029296875,410.12370402668233,399.2127447646266,410.12370402668233,4856000
2011-07-06,403.06378173828125,408.1983522062848,392.79464080227405,401.1383178127799,15777000
2011-07-07,401.1383056640625,404.98923339843753,399.8546630859375,401.78012695312503,7327000
2011-07-08,410.7655334472656,412.6909968852997,405.6309642791748,407.55642771720886,6634000
2011-07-11,410.1236572265625,412.04912040602994,407.5563729872726,407.5563729872726,3823000
2011-07-12,406.27288818359375,406.27288818359375,401.7801390251654,405.6310668752468,4665000
2011-07-13,399.8545837402344,403.06368954874347,397.9291202551289,400.49640490193616,3748000
2011-07-14,403.06378173828125,408.1983522062848,397.9292112702777,399.2128538872785,7539000
2011-07-15,404.9892578125,406.27290046800715,402.42197250148575,404.3474364847465,3427000
2011-07-19,403.70556640625,404.98920890674685,402.4219239057532,403.0637451560016,2195000
2011-07-20,406.27288818359375,411.407458650369,404.9892455668999,409.48199472532826,2281000
2011-07-21,405.6308898925781,406.2727109208892,403.70542680764504,406.2727109208892,2438000
2011-07-22,406.27288818359375,408.8401734169814,404.347424258553,408.1983521086345,3123000
2011-07-25,404.3473815917969,407.5564877949064,403.705560351175,407.5564877949064,2587000
2011-07-26,406.9146728515625,409.48195785378056,404.34738784934444,404.98920909989897,2808000
2011-07-27,404.9892578125,406.27290046800715,403.7056151569929,404.98925781250006,3881000
