Price,Close,High,Low,Open,Volume
Ticker,6273.T,6273.T,6273.T,6273.T,6273.T
Date,,,,,
2011-02-21,12541.625,12592.954979536153,12344.860078444748,12456.075034106412,203800
2011-02-22,12207.9794921875,12490.294364816924,12199.424496047215,12490.294364816924,191100
2011-02-23,12011.2119140625,12267.861741286059,11994.10192558093,11994.10192558093,220500
2011-02-24,11754.5654296875,11865.780386445824,11711.790446318913,11805.895409729803,240000
2011-02-25,11720.3427734375,11805.892720688867,11497.91291058394,11677.567799811815,430700
2011-02-28,11934.21875,12002.658714157707,11515.023969534052,11746.00884856631,445800
2011-03-01,12002.658203125,12028.323188591412,11814.44830970465,11865.778280637473,352000
2011-03-02,11925.6650390625,11959.885024827385,11737.45511735563,11874.335060415171,305700
2011-03-03,12045.4345703125,12105.319543318315,11917.109628157183,11925.66462430087,284300
2011-03-04,12276.41796875,12276.41796875,12096.763071646343,12122.428056946865,305300
2011-03-07,11951.328125,12096.763041338583,11831.558193897637,12079.653051181102,307200
2011-03-08,12011.2119140625,12122.426839192709,11899.996988932291,11942.771960136219,300900
2011-03-09,12130.9853515625,12250.755305668195,12053.990381065982,12216.535318780854,250900
2011-03-10,11840.11328125,12036.878169594473,11737.453339505058,11968.438208431178,242700
2011-03-11,11660.458984375,11831.55889610464,11643.348993202037,11805.893909345194,330600
2011-03-14,10471.3154296875,11027.390186982997,9504.600851619945,10265.99551930147,551900
2011-03-15,10154.779296875,10762.183955744524,10017.899373749473,10727.963974963142,823400
2011-03-16,11258.3759765625,11942.775731976633,10924.73109579811,11010.281065224875,685200
2011-03-17,11361.03125,11583.46107868976,10984.611539909638,11335.366269766566,778200
2011-03-18,11600.572265625,11771.672151548672,11463.692356886062,11583.462277032631,271100
2011-03-22,11737.4541015625,11857.224041374362,11463.694239135386,11857.224041374362,335000
2011-03-23,11412.361328125,11669.011133105323,11284.036425634838,11574.906204612538,290200
2011-03-24,11275.48828125,11429.478257776935,11215.603290378414,11369.593266905349,412500
2011-03-25,11181.380859375,11412.365773837988,11078.72089739145,11284.040821358549,332300
2011-03-28,11189.9345703125,11241.264545405676,10993.169665788657,11224.154553707951,223400
2011-03-29,11464.955078125,11490.738335422133,10914.91225578617,10914.91225578617,327200
2011-03-30,11662.6240234375,11679.812857665116,11396.197092909451,11456.358012706107,182600
2011-03-31,11765.7607421875,11765.7607421875,11473.550468093727,11765.7607421875,205500
2011-04-01,11404.7958984375,11825.922499058026,11396.201478016674,11825.922499058026,205800
