Price,Close,High,Low,Open,Volume
Ticker,6857.T,6857.T,6857.T,6857.T,6857.T
Date,,,,,
2011-02-21,352.6798400878906,354.30135659404186,349.0314279490504,351.6663922715461,5141600
2011-02-22,347.2071838378906,348.6260106253193,342.7480139345435,345.58566750940076,7260800
2011-02-23,344.16668701171875,347.6124076708467,340.5182769020539,346.801649868699,5074800
2011-02-24,341.9372863769531,345.1803193242153,340.72114902172984,342.54535505456477,6326400
2011-02-25,343.5587463378906,344.572193967206,338.8968872430402,342.1399196568492,7906800
2011-02-28,343.3560485839844,343.3560485839844,335.8565363067663,341.1264638529195,7122800
2011-03-01,345.9908752441406,347.81508021027844,343.3559125152749,346.1935646848226,6322000
2011-03-02,334.0323791503906,340.7211343154167,332.6135522972033,338.89692836131866,8296800
2011-03-03,339.099609375,343.5587793727585,335.85657664935746,339.9103675564107,5044800
2011-03-04,347.0045471191406,350.2475802697868,343.76151396849446,345.58572011573295,9448000
2011-03-07,341.12652587890625,344.5722483625315,338.69425118458247,342.3426632260681,5437600
2011-03-08,342.7480163574219,344.57222223986827,338.49153596504704,339.3022941350232,5033200
2011-03-09,350.85552978515625,352.6797353126354,343.35601817218645,344.97753419661234,8402000
2011-03-10,348.6259460449219,352.2743571081827,345.99098249923355,346.599051009777,8119200
2011-03-11,336.0592956542969,344.9776364316124,335.04584783869285,342.5453616741627,28823200
2011-03-14,320.04669189453125,328.35696065176734,312.3444915829466,319.84400241264746,13986000
2011-03-15,274.6443176269531,308.2907801554212,238.97095976544483,308.08809062211714,23697200
2011-03-16,272.61737060546875,287.6163932261414,256.19952152067845,280.7249504004269,24111200
2011-03-17,265.5232849121094,276.4685195573414,253.36191308407385,254.37536073641013,20087600
2011-03-18,267.5500183105469,276.4683522542318,264.50967719338155,265.52312423243666,16906800
2011-03-22,293.697021484375,298.96694733571644,287.00826944228777,288.42709563303356,19080400
2011-03-23,282.9546203613281,289.84606526984186,280.5223456877351,288.83261748917806,16004400
2011-03-24,282.7519226074219,285.79226586126515,280.72502710485975,283.1573017079343,7178000
2011-03-25,289.845947265625,292.2782209489729,287.00829463505244,289.0351893711757,9503200
2011-03-28,275.6576843261719,284.9814001195571,273.22541064094094,284.17064222448016,12325600
2011-03-29,283.99871826171875,288.27090528428045,272.19934458035794,275.8612191711251,17304400
2011-03-30,293.5602722167969,293.76370968888057,277.69214939426735,284.2021485009461,10634800
2011-03-31,304.74920654296875,308.8179542938762,293.7635876155186,294.5773371657001,23363200
2011-04-01,305.35955810546875,314.514241726219,304.7492458640854,309.2248689675633,17510000
2011-04-04,309.63177490234375,313.700523587,309.4283374681109,310.85239950774064,9613600
2011-04-05,305.35955810546875,310.24205603653553,303.12174655372985,308.8179941399744,7889200
2011-04-06,304.5458068847656,308.8179925524878,302.1045579317815,305.35955653576036,7758000
2011-04-07,303.7321472167969,309.2249589882996,302.30808490566653,309.2249589882996,5376000
2011-04-08,313.29364013671875,315.32801442332084,300.0702072738053,303.9355184183492,15870000
2011-04-11,306.17333984375,310.8524008513289,303.93552805751665,309.2249013704319,7249200
2011-04-12,299.25640869140625,302.91828180931606,296.20484775981475,299.0529712959668,8488400
2011-04-13,301.9011535644531,302.71490330451905,296.0014679489753,296.20490538399173,4968000
2011-04-14,301.08746337890625,301.90121327993035,296.20496397276185,296.20496397276185,4184000
2011-04-15,297.62890625,301.6976541139781,296.61171928400546,300.8839045411825,6594800
