Price,Close,High,Low,Open,Volume
Ticker,8802.T,8802.T,8802.T,8802.T,8802.T
Date,,,,,
2011-02-21,1399.295654296875,1415.816264146897,1384.4271054318551,1395.9915323268706,6575000
2011-02-22,1372.863037109375,1388.5576205661007,1365.4287607351364,1378.645252067116,6206000
2011-02-23,1372.863037109375,1402.600142606329,1365.4287607351364,1368.7328835681312,9253000
2011-02-24,1353.038330078125,1377.8192518744277,1348.0821457188645,1369.5589446089934,6008000
2011-02-25,1364.6026611328125,1364.6026611328125,1337.3436491368182,1348.908078468452,4859000
2011-02-28,1377.8189697265625,1385.2532447430729,1342.2996557587915,1351.3859918900816,5451000
2011-03-01,1406.72998046875,1410.0341025602797,1385.2531868738072,1387.7312784424546,5389000
2011-03-02,1353.038330078125,1392.6878049522093,1347.256114992321,1392.6878049522093,6223000
2011-03-03,1361.29833984375,1368.7326147579454,1355.5161260215982,1358.820248205685,4203000
2011-03-04,1379.47119140625,1393.5137125163735,1371.210884870883,1391.8616512093001,6929000
2011-03-07,1359.64599609375,1380.2967554511883,1350.559661976477,1362.9501175909402,5552000
2011-03-08,1357.1683349609375,1372.862917045087,1354.690243052914,1368.7327638650477,5319000
2011-03-09,1394.3394775390625,1404.2518434931317,1372.0366541424069,1382.7750505926485,8782000
2011-03-10,1349.7335205078125,1389.3829752106124,1331.560853769029,1386.078853985379,7515000
2011-03-11,1337.343505859375,1362.9504537788566,1333.2133529691362,1336.5174752813273,11155000
2011-03-14,1246.47998046875,1275.3910469474818,1231.6114319939736,1243.1758585854664,12339000
2011-03-15,1177.0936279296875,1246.4801996813324,1177.0936279296875,1246.4801996813324,21520000
2011-03-16,1202.700439453125,1220.873110928378,1167.1811270242208,1173.7893711970403,29595000
2011-03-17,1210.961181640625,1210.961181640625,1152.3129934438416,1178.7459796733779,14641000
2011-03-18,1258.044921875,1263.0011067280861,1231.6119359918746,1234.9160592272654,9939000
2011-03-22,1252.2623291015625,1300.9981321470718,1238.219809579975,1291.0857654259512,12639000
2011-03-23,1202.700439453125,1251.4362402276677,1187.005859542679,1250.6102097060652,9861000
2011-03-24,1182.8759765625,1229.1336963163408,1182.0499458526099,1220.8733892174405,8758000
2011-03-25,1172.96337890625,1200.2223870075925,1158.920859581316,1196.0922342649649,6238000
2011-03-28,1147.356689453125,1168.0074578018134,1138.270351379702,1156.443027526548,6033000
2011-03-29,1142.3787841796875,1157.3118401820363,1134.912256178513,1136.5714846232186,8831000
2011-03-30,1176.39306640625,1176.39306640625,1124.9569802869357,1134.082737501653,12885000
2011-03-31,1167.2674560546875,1180.541286400725,1135.7421089828479,1180.541286400725,9718000
2011-04-01,1186.3485107421875,1211.2369410374781,1185.518896399011,1198.7927258898328,9286000
2011-04-04,1157.3118896484375,1182.2003173828125,1155.6526611328125,1182.2003173828125,7453000
2011-04-05,1153.1636962890625,1177.2225072188344,1145.6971687591333,1163.9486804989604,5710000
2011-04-06,1128.275634765625,1157.3121400720934,1119.1498759550207,1156.4825256347656,10553000
2011-04-07,1111.68310546875,1155.6526611328125,1109.1942626953125,1136.571533203125,13526000
2011-04-08,1152.334228515625,1161.4599855449064,1105.0462148184395,1111.6831290215532,10356000
